"symbol","security","sec_filings","gics_sector","gics_sub_industry","city","state","in_usa"
"XL","XL Capital","reports","Financials","Property & Casualty Insurance","Hamilton","Bermuda",0
"XLNX","Xilinx Inc","reports","Information Technology","Semiconductors","San Jose","California",1
"XOM","Exxon Mobil Corp.","reports","Energy","Integrated Oil & Gas","Irving","Texas",1
"XRAY","Dentsply Sirona","reports","Health Care","Health Care Supplies","York","Pennsylvania",1
"XRX","Xerox Corp.","reports","Information Technology","IT Consulting & Other Services","Norwalk","Connecticut",1
"XYL","Xylem Inc.","reports","Industrials","Industrial Conglomerates","White Plains","New York",1
"YHOO","Yahoo Inc.","reports","Information Technology","Internet Software & Services","Sunnyvale","California",1
"YUM","Yum! Brands Inc","reports","Consumer Discretionary","Restaurants","Louisville","Kentucky",1
"ZBH","Zimmer Biomet Holdings","reports","Health Care","Health Care Equipment","Warsaw","Indiana",1
"ZION","Zions Bancorp","reports","Financials","Regional Banks","Salt Lake City","Utah",1
"ZTS","Zoetis","reports","Health Care","Pharmaceuticals","Florham Park","New Jersey",1
